name,size,crtime,parent_path,malware_class,delete_flag
pin9728060290,280,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/,None,0
.,280,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin9728060290/,None,0
..,56,1390674468,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin9728060290/,None,0
msapplication.xml,400,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tiles/pin9728060290/,None,0
Tracking Protection,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/,None,0
.,48,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tracking Protection/,None,0
..,56,1390674467,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Internet Explorer/Tracking Protection/,None,0
Media Player,56,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/,None,0
.,56,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
..,56,1390674458,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
CurrentDatabase_372.wmdb,1331200,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
LocalMLS_3.wmdb,69740,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
LocalMLS_3.wmdb-slack,3988,1432644378,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
Sync Playlists,144,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/,None,0
.,144,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/,None,0
..,56,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/,None,0
en-US,152,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/,None,0
.,152,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/,None,0
..,144,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/,None,0
0007DA28,56,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/,None,0
.,56,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
..,152,1390674464,/USERS/Jimmy Wilson/AppData/Local/Microsoft/Media Player/Sync Playlists/en-US/0007DA28/,None,0
